MAIN_GENRE,MAIN_PRODUCTION,AVG_SCORE,TOTAL_VOTES
documentary,GB,8.95,78047
western,JP,8.9,112887
drama,IN,8.9,85717
scifi,DE,8.7,354443
action,IN,8.6,85088
drama,AU,8.6,21747
drama,JP,8.524999999999999,163178
drama,DK,8.5,23523
reality,US,8.45,28171
crime,DE,8.4,23256
drama,TR,8.4,17727
comedy,GB,8.333333333333334,411799
comedy,CA,8.3,186190
western,US,8.3,34362
war,IL,8.3,25239
comedy,FR,8.3,13331
animation,JP,8.266666666666666,112972
scifi,JP,8.241666666666665,1001815
drama,GB,8.24,1113445
action,GB,8.2,206611
war,SE,8.2,17735
documentary,US,8.175,189640
scifi,GB,8.166666666666666,54010
action,JP,8.133333333333333,368159
drama,CA,8.120000000000001,165150
crime,GB,8.1,177868
drama,KR,8.1,43463
scifi,US,8.096000000000002,4721346
action,US,8.064285714285713,2387862
drama,US,8.053488372093026,6683523
action,KR,8.05,517025
crime,ES,8.05,479816
crime,US,8.027272727272727,934910
comedy,US,8.025,2630199
war,GB,8,133021
drama,BR,8,36077
thriller,US,7.9,415140
animation,US,7.9,74660
drama,SE,7.9,47809
drama,FR,7.9,40535
war,TR,7.9,35515
crime,NO,7.9,29196
drama,BE,7.9,26934
documentary,TR,7.9,22045
crime,IT,7.9,14346
comedy,KR,7.9,11579
drama,ES,7.8999999999999995,35243
drama,DE,7.8,117305
thriller,KR,7.8,18446
thriller,GB,7.8,13570
crime,DK,7.7,41253
comedy,NO,7.7,31710
romance,FR,7.7,10102
scifi,CA,7.675,130502
crime,FR,7.65,122106
drama,FI,7.6,10371
war,US,7.533333333333334,146129
action,NO,7.5,36185
comedy,TR,7.5,13797
