MAIN_GENRE,MAIN_PRODUCTION,TOTAL_VOTES
drama,US,6683523
scifi,US,4721346
comedy,US,2630199
action,US,2387862
drama,GB,1113445
scifi,JP,1001815
crime,US,934910
action,KR,517025
crime,ES,479816
thriller,US,415140
comedy,GB,411799
action,JP,368159
scifi,DE,354443
action,GB,206611
documentary,US,189640
comedy,CA,186190
crime,GB,177868
drama,CA,165150
drama,JP,163178
war,US,146129
war,GB,133021
scifi,CA,130502
crime,FR,122106
drama,DE,117305
animation,JP,112972
western,JP,112887
drama,IN,85717
action,IN,85088
documentary,GB,78047
animation,US,74660
scifi,GB,54010
drama,SE,47809
drama,KR,43463
crime,DK,41253
drama,FR,40535
action,NO,36185
drama,BR,36077
war,TR,35515
drama,ES,35243
western,US,34362
comedy,NO,31710
crime,NO,29196
reality,US,28171
drama,BE,26934
war,IL,25239
drama,DK,23523
crime,DE,23256
documentary,TR,22045
drama,AU,21747
thriller,KR,18446
war,SE,17735
drama,TR,17727
crime,IT,14346
comedy,TR,13797
thriller,GB,13570
comedy,FR,13331
comedy,KR,11579
drama,FI,10371
romance,FR,10102
